rnum,rank,targetDt,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,audiCnt,scrnCnt,showCnt,movieNmEn,genreAlt,repNationNm,repGenreNm
9,9,20170202,OLD,20150964,조작된 도시,2017-02-09 00:00:00,24000000,0.8,3000,10,10,Fabricated City,"범죄,액션",한국,범죄
1,1,20170203,OLD,20151228,공조,2017-01-18 00:00:00,1698784568,45.1,202908,1022,5198,Confidential Assignment,액션,한국,액션
2,2,20170203,OLD,20151229,더 킹,2017-01-18 00:00:00,723431518,19.2,86879,837,3542,The King,"범죄,드라마",한국,범죄
4,4,20170203,OLD,20168688,레지던트 이블: 파멸의 날,2017-01-25 00:00:00,220219750,5.8,25268,468,1394,Resident Evil: The Final Chapter,"액션,공포(호러),SF,스릴러",미국,액션
1,1,20170204,OLD,20151228,공조,2017-01-18 00:00:00,3758373250,46,442556,1099,5616,Confidential Assignment,액션,한국,액션
2,2,20170204,OLD,20151229,더 킹,2017-01-18 00:00:00,1428182708,17.5,168326,832,3513,The King,"범죄,드라마",한국,범죄
5,5,20170204,OLD,20168688,레지던트 이블: 파멸의 날,2017-01-25 00:00:00,405987342,5,46339,486,1255,Resident Evil: The Final Chapter,"액션,공포(호러),SF,스릴러",미국,액션
1,1,20170205,OLD,20151228,공조,2017-01-18 00:00:00,3407131600,45.6,402889,1094,5456,Confidential Assignment,액션,한국,액션
2,2,20170205,OLD,20151229,더 킹,2017-01-18 00:00:00,1305062900,17.4,154446,818,3369,The King,"범죄,드라마",한국,범죄
5,5,20170205,OLD,20168688,레지던트 이블: 파멸의 날,2017-01-25 00:00:00,339636900,4.5,38653,473,1216,Resident Evil: The Final Chapter,"액션,공포(호러),SF,스릴러",미국,액션
1,1,20170206,OLD,20151228,공조,2017-01-18 00:00:00,934708000,45.2,124410,1018,5048,Confidential Assignment,액션,한국,액션
2,2,20170206,OLD,20151229,더 킹,2017-01-18 00:00:00,374987900,18.1,50002,768,3223,The King,"범죄,드라마",한국,범죄
4,4,20170206,OLD,20168688,레지던트 이블: 파멸의 날,2017-01-25 00:00:00,123567900,6,15899,465,1324,Resident Evil: The Final Chapter,"액션,공포(호러),SF,스릴러",미국,액션
9,9,20170206,NEW,20150964,조작된 도시,2017-02-09 00:00:00,14528000,0.7,1816,9,9,Fabricated City,"범죄,액션",한국,범죄
1,1,20170207,OLD,20151228,공조,2017-01-18 00:00:00,878530200,42.3,118066,1022,5007,Confidential Assignment,액션,한국,액션
2,2,20170207,OLD,20151229,더 킹,2017-01-18 00:00:00,363715400,17.5,49014,777,3201,The King,"범죄,드라마",한국,범죄
4,4,20170207,OLD,20168688,레지던트 이블: 파멸의 날,2017-01-25 00:00:00,113581700,5.5,14727,462,1309,Resident Evil: The Final Chapter,"액션,공포(호러),SF,스릴러",미국,액션
9,9,20170207,OLD,20150964,조작된 도시,2017-02-09 00:00:00,49941200,2.4,5457,34,34,Fabricated City,"범죄,액션",한국,범죄
1,1,20170208,OLD,20151228,공조,2017-01-18 00:00:00,847015900,34.1,113012,942,4564,Confidential Assignment,액션,한국,액션
2,2,20170208,NEW,20167716,트리플 엑스 리턴즈,2017-02-08 00:00:00,536597600,21.6,68598,581,2943,xXx: Return of Xander Cage,"액션,어드벤처,스릴러",미국,액션
3,3,20170208,OLD,20151229,더 킹,2017-01-18 00:00:00,310697000,12.5,41728,663,2612,The King,"범죄,드라마",한국,범죄
7,7,20170208,OLD,20168688,레지던트 이블: 파멸의 날,2017-01-25 00:00:00,75332900,3,9824,348,981,Resident Evil: The Final Chapter,"액션,공포(호러),SF,스릴러",미국,액션
1,1,20170209,OLD,20150964,조작된 도시,2017-02-09 00:00:00,1177376000,36.9,157669,771,3503,Fabricated City,"범죄,액션",한국,범죄
2,2,20170209,OLD,20151228,공조,2017-01-18 00:00:00,681229400,21.3,90606,742,3271,Confidential Assignment,액션,한국,액션
3,3,20170209,OLD,20167716,트리플 엑스 리턴즈,2017-02-08 00:00:00,343727300,10.8,43816,541,2469,xXx: Return of Xander Cage,"액션,어드벤처,스릴러",미국,액션
4,4,20170209,OLD,20151229,더 킹,2017-01-18 00:00:00,189208600,5.9,25352,466,1359,The King,"범죄,드라마",한국,범죄
1,1,20170210,OLD,20150964,조작된 도시,2017-02-09 00:00:00,1551046539,38.8,186738,825,3784,Fabricated City,"범죄,액션",한국,범죄
2,2,20170210,OLD,20151228,공조,2017-01-18 00:00:00,880984312,22,104469,748,3345,Confidential Assignment,액션,한국,액션
3,3,20170210,OLD,20167716,트리플 엑스 리턴즈,2017-02-08 00:00:00,432633449,10.8,49555,554,2492,xXx: Return of Xander Cage,"액션,어드벤처,스릴러",미국,액션
4,4,20170210,OLD,20151229,더 킹,2017-01-18 00:00:00,223421800,5.6,26656,479,1371,The King,"범죄,드라마",한국,범죄
1,1,20170211,OLD,20150964,조작된 도시,2017-02-09 00:00:00,2960746805,36.1,353192,1006,4495,Fabricated City,"범죄,액션",한국,범죄
2,2,20170211,OLD,20151228,공조,2017-01-18 00:00:00,1929374549,23.5,225583,803,3552,Confidential Assignment,액션,한국,액션
3,3,20170211,OLD,20167716,트리플 엑스 리턴즈,2017-02-08 00:00:00,910730146,11.1,104170,590,2420,xXx: Return of Xander Cage,"액션,어드벤처,스릴러",미국,액션
4,4,20170211,OLD,20151229,더 킹,2017-01-18 00:00:00,387276800,4.7,45802,477,1211,The King,"범죄,드라마",한국,범죄
1,1,20170212,OLD,20150964,조작된 도시,2017-02-09 00:00:00,2985432400,37.3,356648,1019,4471,Fabricated City,"범죄,액션",한국,범죄
